单据日期,总订单金额
2014-12-01,1403925.0
2014-12-02,1218817.4501953125
2014-12-03,10296.0
2014-12-04,1447.0
2014-12-05,1696.0
2014-12-06,1696.0
2014-12-07,1398.0
2014-12-08,698.0
2014-12-09,299.0
2014-12-10,399.0
2014-12-11,1599.0
2014-12-12,1119.0
2014-12-13,589.0
2014-12-14,489.0
2014-12-15,120.0
2014-12-16,1647.0
2014-12-17,1845.0
2014-12-18,2543.0
2014-12-19,2493.0
2014-12-20,2493.0
2014-12-21,1795.0
2014-12-22,61795.0
2014-12-23,123795.0
2014-12-24,1795.0
2014-12-25,404993.0
2014-12-26,2196.0
2014-12-27,399.0
2014-12-28,1097.0
2014-12-29,1097.0
2014-12-30,51097.0
2014-12-31,4298.0
2015-01-01,130698.0
2015-01-02,698.0
2015-01-03,698.0
2015-01-04,698.0
2015-01-05,17948.0
2015-01-06,1097.0
2015-01-07,2189.0
2015-01-08,2189.0
2015-01-09,15879.0
2015-01-10,2194.0
2015-01-11,1496.0
2015-01-12,1496.0
2015-01-13,1496.0
2015-01-14,1496.0
2015-01-15,798.0
2015-01-16,798.0
2015-01-17,1596.0
2015-01-18,1596.0
2015-01-19,685497.0
2015-01-20,1396.0
2015-01-21,1396.0
2015-01-22,1696.0
2015-01-23,2046.0
2015-01-24,1797.0
2015-01-25,749.0
2015-01-26,1447.0
2015-01-27,1447.0
2015-01-28,1397.0
2015-01-29,1397.0
2015-01-30,1397.0
2015-01-31,2895.0
