"日期",用户注册来源,订单来源,业务类别,订单地区,投诉原因,新增订单量,实际服务订单量,待服务订单量,取消订单量,被拒订单量,待服务订单已消耗天数,好评订单量,被投诉订单量,新增订单数量级别,半月分组,年,中国分组,到今天的差额（天）,hours
2014年10月1日,UC浏览器引流,Android APP,按摩,北京,其他,11967.0,9471.0,1752.0,348.0,396.0,9.0,5496.0,381.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,UC浏览器引流,Android APP,按摩,北京,其他,20592.0,12858.0,6096.0,1132.0,506.0,4.0,7043.0,353.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,UC浏览器引流,Android APP,按摩,成都,无服务,27395.0,17033.0,7634.0,1870.0,858.0,7.0,8732.0,440.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,UC浏览器引流,Android APP,按摩,上海,无服务,26773.0,21624.0,3559.0,564.0,1026.0,1.0,11699.0,526.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,UC浏览器引流,Android APP,按摩,武汉,无服务,27252.0,18311.0,6775.0,690.0,1476.0,5.0,11253.0,668.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,UC浏览器引流,Android APP,美甲,杭州,其他,25230.0,17271.0,5866.0,892.0,1201.0,5.0,10050.0,337.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,UC浏览器引流,Android APP,美甲,武汉,服务者原因,15851.0,14902.0,630.0,231.0,88.0,7.0,11652.0,281.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,UC浏览器引流,Android APP,洗衣,武汉,服务者原因,14653.0,9965.0,2813.0,768.0,1107.0,5.0,7348.0,115.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,UC浏览器引流,微信公众号,按摩,成都,服务者原因,23151.0,15302.0,5734.0,1290.0,825.0,5.0,8199.0,593.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,UC浏览器引流,微信公众号,按摩,广州,无服务,17084.0,15225.0,1185.0,331.0,343.0,9.0,10966.0,255.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,UC浏览器引流,微信公众号,按摩,杭州,无服务,24125.0,20093.0,2671.0,719.0,642.0,8.0,13969.0,215.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,UC浏览器引流,微信公众号,按摩,上海,无服务,11902.0,7969.0,2416.0,1044.0,473.0,3.0,4301.0,226.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,UC浏览器引流,微信公众号,按摩,武汉,服务者原因,23021.0,19279.0,2512.0,973.0,257.0,3.0,11591.0,443.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,UC浏览器引流,微信公众号,洗衣,上海,无服务,15046.0,12782.0,1368.0,290.0,606.0,6.0,9218.0,108.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,UC浏览器引流,微信公众号,洗衣,深圳,无服务,25101.0,24863.0,188.0,20.0,30.0,1.0,15280.0,351.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,地推二维码扫描,Android APP,按摩,杭州,服务者原因,20687.0,18526.0,1398.0,550.0,213.0,4.0,12911.0,185.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,地推二维码扫描,Android APP,按摩,深圳,无服务,11427.0,7517.0,2868.0,390.0,652.0,1.0,4681.0,233.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,地推二维码扫描,Android APP,洗衣,北京,无服务,22863.0,18906.0,3087.0,678.0,192.0,1.0,13444.0,533.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,地推二维码扫描,Android APP,洗衣,成都,服务者原因,14152.0,13065.0,818.0,89.0,180.0,10.0,7110.0,547.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,地推二维码扫描,Android APP,洗衣,成都,其他,10474.0,7819.0,1857.0,528.0,270.0,7.0,5091.0,222.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,地推二维码扫描,Android APP,洗衣,杭州,服务者原因,19991.0,12391.0,5357.0,1557.0,686.0,1.0,6349.0,512.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,地推二维码扫描,Android APP,洗衣,杭州,其他,20026.0,15465.0,3265.0,583.0,713.0,7.0,10363.0,230.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,地推二维码扫描,Android APP,洗衣,深圳,无服务,19533.0,13883.0,4343.0,691.0,616.0,8.0,7214.0,279.0,其他分组,未分组,不合格,未分组项,427.0,0.0
2014年10月1日,地推二维码扫描,Android APP,洗衣,深圳,无服务,25734.0,20641.0,3960.0,440.0,693.0,3.0,12601.0,587.0,其他分组,未分组,不合格,未分组项,427.0,0.0
